izip_2016,presvote16post_2016,ft_black_2016,ft_white_2016,ft_hisp_2016,ft_asian_2016,ft_muslim_2016,ft_jew_2016,ft_christ_2016,ft_fem_2016,ft_immig_2016,ft_blm_2016,ft_wallst_2016,ft_gays_2016,ft_unions_2016,ft_police_2016,ft_altright_2016,accurately_counted2_2016,alcohol_2016,smoke100_2016,pid7_2016,ideo5_2016,pew_religimp_2016,starttime_2016,endtime_2016
45215,Hillary Clinton,74,50,64,54,54,52,50,98,66,42,3,63,88,4,1,Not too confident,No,No,Strong Democrat,Very liberal,Somewhat important,03dec2016 20:20:43,03dec2016 20:35:16
67401,Donald Trump,40,95,41,50,10,30,100,30,16,0,21,51,92,90,50,Very confident,No,No,Independent,Conservative,Very important,05dec2016 23:06:01,05dec2016 23:29:27
32724,Donald Trump,72,91,72,82,24,91,98,49,58,3,28,63,61,98,3,Very confident,No,Yes,Lean Republican,Conservative,Somewhat important,09dec2016 17:15:56,09dec2016 17:37:03
92374,Donald Trump,77,98,98,98,71,95,95,85,70,98,84,93,70,99,69,Very confident,No,Yes,Strong Republican,Moderate,Very important,18dec2016 16:00:30,18dec2016 16:24:25
32703,Hillary Clinton,80,91,80,94,93,95,94,81,97,41,42,87,53,100,53,Somewhat confident,Yes,No,Independent,Moderate,Very important,05dec2016 02:34:27,05dec2016 03:02:26
43055,Hillary Clinton,66,78,50,67,70,74,81,75,70,69,40,80,66,69,78,Very confident,No,Yes,Strong Democrat,Very conservative,Somewhat important,03dec2016 20:18:30,03dec2016 20:37:28
44140,Donald Trump,79,93,76,92,35,96,97,29,56,15,51,84,39,91,70,Very confident,Yes,Yes,Not very strong Republican,Conservative,Very important,12dec2016 16:16:28,12dec2016 16:40:01
85373,Hillary Clinton,52,81,50,51,44,50,50,52,50,6,6,60,99,50,9,Not at all confident,Yes,Yes,Strong Democrat,Moderate,Not at all important,09dec2016 14:26:36,09dec2016 14:50:55
20164,Donald Trump,65,90,59,85,51,80,86,20,72,4,51,60,35,99,11,Very confident,No,No,Strong Republican,Very conservative,Somewhat important,06dec2016 07:48:07,06dec2016 08:09:10
92131,Donald Trump,81,100,82,80,28,82,90,29,51,6,51,52,3,100,30,Very confident,Yes,Yes,Not very strong Republican,Moderate,Not at all important,08dec2016 10:38:25,08dec2016 10:57:56
