izip_2016,presvote16post_2016,ft_black_2016,ft_white_2016,ft_hisp_2016,ft_asian_2016,ft_muslim_2016,ft_jew_2016,ft_christ_2016,ft_fem_2016,ft_immig_2016,ft_blm_2016,ft_wallst_2016,ft_gays_2016,ft_unions_2016,ft_police_2016,ft_altright_2016,accurately_counted2_2016,alcohol_2016,smoke100_2016,pid7_2016,ideo5_2016,pew_religimp_2016,starttime_2016,endtime_2016
54968,Hillary Clinton,60,91,56,59,46,83,74,60,59,50,51,79,76,99,35,Not too confident,Yes,No,Not very strong Democrat,Not sure,Very important,05dec2016 12:01:56,05dec2016 12:26:59
19734,Donald Trump,78,79,75,78,51,74,99,24,61,14,54,31,24,91,NA,Somewhat confident,Yes,No,Strong Republican,Conservative,Very important,05dec2016 19:28:35,05dec2016 19:46:56
53209,Hillary Clinton,100,76,79,78,75,76,NA,73,53,99,3,79,100,44,NA,Not too confident,Yes,Yes,Not very strong Democrat,Moderate,Somewhat important,04dec2016 07:49:36,04dec2016 08:26:12
98233,Donald Trump,91,90,92,91,NA,94,98,20,31,2,50,79,61,99,NA,Very confident,Yes,Yes,Strong Republican,Conservative,Somewhat important,06dec2016 16:58:07,06dec2016 17:23:25
99004,Hillary Clinton,81,51,75,71,71,71,90,90,79,66,26,51,71,65,6,Somewhat confident,Yes,Yes,Not very strong Democrat,Moderate,Not too important,04dec2016 07:27:22,04dec2016 07:49:24
53406,Hillary Clinton,94,96,92,86,79,81,99,76,93,91,53,90,87,91,NA,Somewhat confident,No,No,Strong Democrat,Liberal,Very important,06dec2016 14:11:55,06dec2016 14:35:11
37064,Hillary Clinton,78,88,94,81,78,86,96,79,83,65,68,69,91,90,61,Very confident,Yes,No,Strong Democrat,Moderate,Very important,05dec2016 06:21:45,05dec2016 06:52:32
49525,Hillary Clinton,97,95,96,95,95,95,81,93,96,94,51,95,73,98,NA,Not too confident,Yes,No,Lean Democrat,Moderate,Very important,18dec2016 10:20:53,18dec2016 10:36:23
42064,Hillary Clinton,97,96,97,100,59,98,100,99,99,99,22,100,99,98,51,Not too confident,No,Yes,Lean Democrat,Liberal,Somewhat important,08dec2016 02:38:21,08dec2016 03:02:05
31411,Other,76,91,70,80,41,81,100,60,65,51,40,81,37,95,50,Very confident,Yes,No,Not very strong Republican,Moderate,Very important,09dec2016 14:26:37,09dec2016 14:52:38
21158,Donald Trump,50,90,30,50,NA,60,95,40,40,11,50,30,45,91,50,Somewhat confident,No,No,Strong Republican,Conservative,Very important,09dec2016 13:52:00,09dec2016 14:32:17
32822,Donald Trump,10,41,100,59,3,89,99,2,2,2,53,3,2,100,2,Very confident,No,No,Not very strong Republican,Conservative,Very important,11dec2016 02:27:12,11dec2016 02:53:18
78250,Hillary Clinton,100,100,100,100,100,100,100,100,100,100,30,100,100,100,10,Not too confident,No,No,Strong Democrat,Liberal,Not at all important,05dec2016 21:41:46,05dec2016 21:59:34
63401,Donald Trump,100,100,100,100,NA,100,100,31,NA,50,50,100,50,100,NA,Very confident,No,No,Lean Republican,Moderate,Very important,04dec2016 10:44:27,04dec2016 11:09:41
29673,Hillary Clinton,100,43,84,87,72,84,100,NA,80,99,41,NA,NA,64,NA,Not at all confident,No,No,Strong Democrat,Moderate,Very important,10dec2016 11:29:12,10dec2016 11:58:47
52748,Donald Trump,100,99,100,98,94,100,100,50,100,31,52,81,52,99,2,Very confident,Yes,Yes,Not very strong Republican,Conservative,Very important,04dec2016 11:55:56,04dec2016 13:19:52
95765,Donald Trump,36,89,51,88,3,99,81,NA,16,2,51,51,11,100,51,Very confident,Yes,Yes,Strong Republican,Conservative,Somewhat important,09dec2016 12:00:56,09dec2016 12:35:22
98597,Donald Trump,51,50,50,50,41,61,100,10,29,3,50,41,60,75,NA,Very confident,Yes,No,Lean Republican,Conservative,Very important,09dec2016 19:28:27,09dec2016 19:54:31
14580,Donald Trump,49,49,51,52,52,49,52,53,50,3,23,50,22,96,4,Very confident,Yes,No,Lean Republican,Conservative,Not too important,09dec2016 13:50:09,09dec2016 14:19:15
18930,Hillary Clinton,70,40,50,75,50,75,40,75,80,75,1,80,50,50,0,Not too confident,Yes,Yes,Lean Democrat,Liberal,Not at all important,10dec2016 20:33:46,10dec2016 20:54:41
75229,Hillary Clinton,86,82,83,84,83,88,81,96,88,93,5,97,50,84,NA,Not too confident,No,Yes,Lean Democrat,Moderate,Somewhat important,04dec2016 09:07:42,04dec2016 09:39:50
30043,Gary Johnson,60,51,50,55,50,50,70,50,50,50,50,50,89,20,NA,Very confident,No,No,Independent,Conservative,Very important,11dec2016 10:21:16,11dec2016 13:01:37
45342,Hillary Clinton,41,61,56,53,39,52,62,57,71,11,21,81,94,84,3,Somewhat confident,No,No,Strong Democrat,Moderate,Very important,08dec2016 08:08:48,08dec2016 08:24:53
92117,Donald Trump,53,NA,53,84,0,73,50,4,NA,0,54,3,1,100,NA,Somewhat confident,Yes,Yes,Independent,Very conservative,Somewhat important,02dec2016 18:01:54,02dec2016 18:17:30
11105,Hillary Clinton,99,80,83,77,71,81,95,61,80,95,14,91,28,79,7,Somewhat confident,No,Yes,Strong Democrat,Liberal,Not too important,20dec2016 13:02:29,20dec2016 13:19:07
63361,Donald Trump,48,92,60,59,10,79,99,41,44,0,30,29,19,90,18,Not too confident,Yes,Yes,Not very strong Republican,Moderate,Very important,02dec2016 20:26:26,02dec2016 20:43:24
34983,Donald Trump,90,90,90,90,12,90,95,8,51,4,50,2,22,90,NA,Somewhat confident,Yes,No,Strong Republican,Very conservative,Very important,09dec2016 14:35:00,09dec2016 14:52:29
14120,Donald Trump,60,61,61,60,41,60,90,11,50,0,50,31,20,86,50,Somewhat confident,Yes,No,Lean Democrat,Conservative,Very important,06dec2016 13:38:17,06dec2016 13:50:25
1960,Donald Trump,100,100,100,100,100,100,100,81,100,5,75,100,50,100,10,Very confident,No,Yes,Independent,Moderate,Somewhat important,11dec2016 05:57:13,11dec2016 06:15:15
4259,Hillary Clinton,59,51,62,53,67,79,52,54,77,87,9,64,73,21,1,Not at all confident,No,No,Strong Democrat,Moderate,Somewhat important,08dec2016 16:52:51,08dec2016 17:08:05
40004,Hillary Clinton,66,100,61,76,62,68,100,56,54,61,56,59,100,68,46,Not at all confident,Yes,No,Strong Democrat,Liberal,Somewhat important,02dec2016 06:06:16,02dec2016 06:24:04
94558,Hillary Clinton,91,91,81,51,61,78,100,90,80,80,50,80,50,100,21,Somewhat confident,No,Yes,Not very strong Republican,Moderate,Very important,09dec2016 12:09:18,09dec2016 12:36:58
21740,Hillary Clinton,41,52,51,52,36,57,90,35,78,24,6,52,97,28,10,Not too confident,Yes,Yes,Lean Democrat,Moderate,Somewhat important,22dec2016 09:21:34,22dec2016 09:44:38
93306,Hillary Clinton,100,80,99,99,99,98,99,97,96,76,54,94,95,98,52,Somewhat confident,Yes,No,Strong Democrat,Liberal,Very important,10dec2016 13:48:54,10dec2016 14:19:08
95618,Donald Trump,23,72,55,31,17,46,96,18,28,6,28,11,17,87,91,Very confident,No,Yes,Strong Republican,Very conservative,Very important,07dec2016 19:52:07,07dec2016 20:34:17
